Зона;Модель;Версия Модели;Кузов;Цвет Кузова;Двигатель;Kоробка передач;Топливо;Год выпуска;Опции 1;Опции 2;Опции 3;Опции 4;Опции 5;Опции 6;Опции 7;Опции 8;Опции 9;Опции 10;Опции 11;Опции 12;Опции 13;Опции 14;Опции 15;Опции 16;Опции 17;Опции 18;Опции 19;Опции 20;Опции 21;Опции 22;Опции 23;Опции 24;Опции 25;Опции 26;Опции 27;Опции 28;Опции 29;Опции 30;Ближайшая возможная дата поставки;Статус;Дата резервации до;Отделка Салона;Версия;Дополнение;Тип Текущего Резервирования;Тип Предыдущего Резервирования;Комментарии;Subsidiary identification;Last Central DM Action;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;1NP0 / ROUGE ADEN;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;1NP0 / ROUGE ADEN;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;PR01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;1NP0 / ROUGE ADEN;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;WF05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;1NP0 / ROUGE ADEN;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;PR01;WF05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;5LM0 / BLEU MONTEBELLO;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;PR01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;9HM0 / GRIS THORIUM;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;PR01;WF05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;9PM0 / GRIS SHARK;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;PR01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;9PM0 / GRIS SHARK;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;PR01;WF05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;U6M0 / METAL.VERNIS B BLEU INARI;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;PR01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;U6M0 / METAL.VERNIS B BLEU INARI;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;Gasoline;2010;WF05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/04/2011;no SO;;4DFX / NOIR;1PA7A3L1ZP32A070/10;;PCR Commercial Stock;;;;;
