Номер<br>ABCnet;Номер Заказа<br>(Дилер);Номер формы выхода;Модель;Версия Модели;Кузов;Цвет Кузова;Двигатель;Kоробка передач;Номер VIN;Версия;Дата заказа;Тип Тек. Рез.;Статус;Пользователь, создавший заказ;Пользователь, зарезервивавший заказ;Дата резервации до;Номер SIV;Отделка Салона;Опции 1;Опции 2;Опции 3;Опции 4;Опции 5;Опции 6;Опции 7;Опции 8;Опции 9;Опции 10;Опции 11;Опции 12;Опции 13;Опции 14;Опции 15;Опции 16;Опции 17;Опции 18;Опции 19;Опции 20;Опции 21;Опции 22;Опции 23;Опции 24;Опции 25;Опции 26;Опции 27;Опции 28;Опции 29;Опции 30;Дата Продажи;Сумма Счета;Номер Заказа Финального Клиента;Дилер;Номер Счета/Накл.;Местонахождение;Идентификационный Номер Покупателя;Тип Оплаты;Ожид.дата доставки;Место доставки;Дополнение;Тип Текущего Резервирования;Тип Предыдущего Резервирования;Год выпуска;Топливо;Комментарии;Subsidiary identification;Last Central DM Action;Dealer estimated delivery date;
50023862;00468148;422125;308 T7;308 SKD MV 5D All 1.6 AT (120 hp) / 1PT7A5QCAL32BKD1;Hatchback 5 Doors;J9M0-TERRE DOMBRE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5QCAL32Z2;06/03/2012 07:00:13;SO in production;Заказ принят;D737659;D737659;;RC204061;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:46<br /> - <i>YES</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
50023863;00468149;422126;308 T7;308 SKD MV 5D All 1.6 AT (120 hp) / 1PT7A5QCAL32BKD1;Hatchback 5 Doors;J9M0-TERRE DOMBRE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5QCAL32Z2;06/03/2012 07:00:13;SO in production;Заказ принят;D737659;D737659;;RC204062;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:46<br /> - <i>YES</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
50023833;00468119;422096;308 T7;308 SKD MV 5D All 1.6 AT (120 hp) / 1PT7A5QCAL32BKD1;Hatchback 5 Doors;WPP0-Белый;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5QCAL32Z2;06/03/2012 07:00:12;SO in production;Заказ принят;D737659;D737659;;RC204050;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:45<br /> - <i>YES</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
50023834;00468120;422097;308 T7;308 SKD MV 5D All 1.6 AT (120 hp) / 1PT7A5QCAL32BKD1;Hatchback 5 Doors;WPP0-Белый;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5QCAL32Z2;06/03/2012 07:00:12;SO in production;Заказ принят;D737659;D737659;;RC204051;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:46<br /> - <i>YES</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
50023845;00468131;422108;308 T7;308 SKD MV 5D All 1.6 AT (120 hp) / 1PT7A5QCAL32BKD1;Hatchback 5 Doors;P9M5-Красный перламутр;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5QCAL32Z2;06/03/2012 07:00:12;SO in production;Заказ принят;D737659;D737659;;RC204053;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:46<br /> - <i>YES</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
50023846;00468132;422109;308 T7;308 SKD MV 5D All 1.6 AT (120 hp) / 1PT7A5QCAL32BKD1;Hatchback 5 Doors;P9M5-Красный перламутр;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5QCAL32Z2;06/03/2012 07:00:12;SO in production;Заказ принят;D737659;D737659;;RC204054;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:46<br /> - <i>YES</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
50023793;00468093;422056;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;9PM0-Темно-серый;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5NCAL32Z0;06/03/2012 07:00:11;SO in production;Заказ заведен;D737659;D737659;;RC204032;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:30<br /> - <i>YES</i><br /> - <span style=color:orange>Vehicle CD Mandatory Option with [Option Name:NIVEAU B SANS MEMOIR] cannot be created. (VN:190)</span><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
50023794;00468094;422057;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;9VM0-Черный;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5NCAL32Z0;06/03/2012 07:00:11;SO in production;Заказ заведен;D737659;D737659;;RC204033;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:45<br /> - <i>YES</i><br /> - <span style=color:orange>Vehicle CD Mandatory Option with [Option Name:NIVEAU B SANS MEMOIR] cannot be created. (VN:190)</span><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
50023798;00468098;422061;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;J9M0-TERRE DOMBRE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5NCAL32Z0;06/03/2012 07:00:11;SO in production;Заказ заведен;D737659;D737659;;RC204037;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:45<br /> - <i>YES</i><br /> - <span style=color:orange>Vehicle CD Mandatory Option with [Option Name:NIVEAU B SANS MEMOIR] cannot be created. (VN:190)</span><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
50023805;00468104;422068;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;P9M5-Красный перламутр;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;;1PT7A5NCAL32Z0;06/03/2012 07:00:11;SO in production;Заказ заведен;D737659;D737659;;RC204038;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;BPF Payment Mode;04/05/2012;3710-ООО "Леонар Авто";06/03/12 13:45<br /> - <i>YES</i><br /> - <span style=color:orange>Vehicle CD Mandatory Option with [Option Name:NIVEAU B SANS MEMOIR] cannot be created. (VN:190)</span><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:06<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i><br />06/03/12 15:41<br /> - <i>MODIFIED BY PCR</i>;SO in production;;*;02;;;;;
